Date,Time,Latency
2024-05-25,19:53:13,2.72
2024-05-25,19:53:16,2.61
2024-05-25,19:53:18,2.75
2024-05-25,19:55:53,4.08
2024-05-25,20:05:51,5.74
2024-05-25,20:06:01,2.14
2024-05-25,20:06:11,1.94
2024-05-25,20:06:21,2.31
2024-05-25,20:06:31,2.30
2024-05-25,20:06:41,1.84
2024-05-25,20:06:51,2.51
2024-05-25,20:14:46,3.41
2024-05-25,20:15:23,2.01
2024-05-25,20:18:49,2.35
2024-05-25,20:21:08,2.07
2024-05-25,20:23:27,2.45
2024-05-25,20:23:33,2.44
2024-05-25,20:23:40,2.42
2024-05-25,21:02:35,1.93
2024-05-26,12:57:13,0.950
2024-05-26,12:58:57,1.14
2024-05-26,12:59:54,0.947
2024-05-26,13:19:12,1.01
2024-05-26,13:19:56,2.10
2024-05-26,13:20:03,1.11
2024-05-26,13:20:18,0.883
2024-05-26,13:22:00,1.38
2024-05-26,13:24:00,1.09
2024-05-26,13:29:42,3.53
2024-05-26,13:31:42,1.70
2024-05-26,13:33:42,4.36
2024-05-26,13:35:42,0.976
2024-05-26,13:37:42,2.10
2024-05-26,13:39:42,1.73
2024-05-26,20:10:17,1.64
2024-05-26,20:12:17,1.78
2024-05-26,20:14:17,1.44
2024-05-26,20:16:17,2.18
2024-05-26,20:18:17,2.26
2024-05-26,20:20:17,2.54
2024-05-26,20:22:17,2.16
2024-05-26,20:24:17,2.08
2024-05-26,20:26:17,6.88
2024-05-26,20:28:17,16.0
2024-05-26,20:30:18,2.07
2024-05-26,20:32:18,1.81
2024-05-26,20:34:18,4.58
2024-05-26,20:36:18,1.18
2024-05-26,20:38:18,1.92
2024-05-26,20:40:18,5.02
2024-05-26,20:42:18,2.30
2024-05-26,20:44:15,2.10
2024-05-26,20:46:15,2.88
2024-05-27,12:00:04,
2024-05-27,12:02:04,
2024-05-27,12:04:04,
2024-05-27,12:06:04,
2024-05-27,12:08:04,
2024-05-27,12:10:05,
2024-05-27,12:12:05,
2024-05-27,12:14:05,
2024-05-27,12:16:05,
2024-05-27,12:18:05,
2024-05-27,12:20:05,
2024-05-27,12:22:05,
2024-05-27,12:24:05,
2024-05-27,12:26:05,
2024-05-27,12:28:05,
2024-05-27,12:30:05,
2024-05-27,12:32:05,
2024-05-27,12:34:05,
2024-05-27,12:36:05,
2024-05-27,12:38:05,
2024-05-27,12:40:05,
2024-05-27,12:42:05,
2024-05-27,12:44:05,
2024-05-27,12:46:05,
2024-05-27,12:48:05,
2024-05-27,12:50:05,
2024-05-27,12:52:05,
2024-05-27,12:54:05,
2024-05-27,12:56:05,
2024-05-27,12:58:05,
2024-05-27,13:00:05,
2024-05-27,13:02:05,
2024-05-27,13:06:20,
2024-05-28,09:23:31,
2024-05-28,12:01:43,
2024-05-28,12:06:20,
2024-05-28,12:10:56,
2024-05-28,12:15:33,
2024-05-28,12:20:09,
